id,authors,year,title,themes,question,sample,design,measures,results,inference,competing_explanations,classroom_use,coverage,url
helfat1997-complementarity,Constance E. Helfat,1997,Know-how and asset complementarity and dynamic capability accumulation: the case of r&d,Capabilities; RBV; Empirical,How do existing technological knowledge and complementary physical assets shape investment in new capabilities after an environmental change?,"26 major U.S. energy firms, 1976–1981.",Tobit regressions; lagged regressors; alternative lagged-dependent-variable and firm-effect specifications.,Coal-conversion R&D/sales; refining R&D capital; complementary physical assets; oil prices.,Related knowledge predicts coal-conversion R&D; some complementary-asset coefficients depend on specification.,"Association in capability investment, not causal evidence of performance advantage.","Oil prices, firm size, firm effects, prior spending and correlated knowledge stocks are considered.",Use to explain where dynamic capabilities come from and why resource complementarities remain contingent on market conditions.,Selected source excerpts: Data; Empirical methodology and variables; Empirical results narrative around Table 7; Conclusion. Tables and other sections not fully reviewed.,https://doi.org/10.1002/(sici)1097-0266(199705)18:5<339::aid-smj883>3.0.co;2-7
powell1997-it-complements,Thomas C. Powell; Anne Dent-Micallef,1997,"Information technology as competitive advantage: the role of human, business, and technology resources",RBV; Capabilities; Critiques; Empirical,"Why do firms using similar information technologies achieve different performance, and can IT alone explain advantage?",65 retail firms; home-office responses with remote store-manager validation.,Cross-sectional resource-performance regressions supplemented by interviews and interrater checks.,"Human/business resources, in-store and beyond-store IT, financial and IT performance.",Human complements predict performance; IT alone is nonsignificant; business effects are weaker with human resources controlled.,Association only; authors explicitly state sustainability and causal direction are not established.,"Reverse causality, common-method perceptions, industry specificity and technology diffusion.",Use as a concrete case showing that buying a visible resource may not reproduce the organizational system behind successful use.,Selected source excerpts: Data and measures: Sample; Data analysis and findings; Discussion and limitations. Tables and other sections not fully reviewed.,https://doi.org/10.1002/(sici)1097-0266(199705)18:5<375::aid-smj876>3.0.co;2-7
lane1998-relative-absorption,Peter J. Lane; Michael Lubatkin,1998,Relative absorptive capacity and interorganizational learning,KBV; Capabilities; Empirical,Why can a firm learn effectively from one partner but struggle to learn from another?,Pharmaceutical–biotechnology R&D alliances with organizational and scientific-knowledge information.,Observational alliance study combining bibliometric data and organizational survey measures.,"Knowledge-base similarity, structures, compensation, research communities, R&D spending and learning.",Selected relative-compatibility measures predicted learning more strongly than R&D spending alone.,"Evidence for a relational learning mechanism, subject to partner-selection effects.","Self-selection of compatible partners, reported learning, prior relationships and unmeasured alliance governance.",Use to explain why access to a valuable partner’s knowledge does not ensure successful learning and why partner matching matters.,Abstract p. 461; relative absorptive-capacity theory; measures and Results section.,https://doi.org/10.1002/(sici)1097-0266(199805)19:5<461::aid-smj953>3.0.co;2-l
tsai1998-social-capital-value,W. Tsai; S. Ghoshal,1998,SOCIAL CAPITAL AND VALUE CREATION: THE ROLE OF INTRAFIRM NETWORKS.,KBV; Empirical; Influence,How do social relationships among business units contribute to resource exchange and product innovation?,Fifteen business units of one multinational electronics company; three key respondents sought per unit.,Observational multisource network survey and structural-equation/path analysis.,"Social interaction, trustworthiness, shared vision, interunit resource exchange and product innovation.","Social interaction and trust related to resource exchange, which related to innovation.","Associational support for the proposed mechanism, with weak temporal identification.","Reverse causality, small unit-level sample, shared organizational setting and correlated respondent perceptions.","Use to connect the organizational-advantage argument to observable relationships, while illustrating the inferential limits of early capability research.",Introduction p. 464; Methods pp. 468–470; Results and model discussion.,https://doi.org/10.2307/257085
combs1999-cooperation,"James G. Combs; David J. Ketchen, Jr.",1999,Explaining interfirm cooperation and performance: toward a reconciliation of predictions from the resource-based view and organizational economics,RBV; Bridge; Critiques; Empirical,How do resource needs and exchange conditions jointly explain cooperation choices and subsequent firm performance?,94 publicly held restaurant chains; archival measures and hospitality-expert assessments.,"Regression and interaction analyses of cooperation choices and performance, with later-year checks.",Resource availability/reputation/management experience; exchange conditions; cooperation; ROA and market-to-book.,Resource and exchange conditions interact; several resource-performance and alignment predictions receive only partial support.,Observational associations; later convergence cannot establish that cooperation built capabilities.,"Scale, growth, firm age, limited construct proxies and alternative subsequent strategic changes.","Use as a direct empirical comparison of RBV and organizational economics, including the costs of prioritizing resource access.",Selected source excerpts: Measures; Results; Discussion of resource/exchange interaction and performance; Limitations. Tables and other sections not fully reviewed.,https://doi.org/10.1002/(sici)1097-0266(199909)20:9<867::aid-smj55>3.0.co;2-6
hansen1999-search-transfer,Morten T. Hansen,1999,The Search-Transfer Problem: The Role of Weak Ties in Sharing Knowledge across Organization Subunits,KBV; Empirical; Influence,"When do weak relationships facilitate knowledge sharing, and when do they become an obstacle?",120 new-product-development projects in 41 divisions; 54 reported an interdivisional transfer event.,Observational network and project study combining surveys and archives.,"Interunit tie weakness, knowledge codification/complexity, project characteristics and completion time.",Weak ties helped with simpler knowledge but impeded complex transfers; benefits depended on knowledge characteristics.,"Conditional associations explaining a search–transfer tradeoff, not experimental tie-strength manipulation.","Endogenous network formation, project selection, knowledge complexity measurement and single-firm context.",Use to structure the practical question of whether to broaden access or deepen collaboration; the answer depends on the stage and content of knowledge sharing.,Abstract p. 82; Data and Methods; complexity and tie measures; Discussion pp. 105–106.,https://doi.org/10.2307/2667032
almeida1999-engineer-mobility,Paul Almeida; Bruce Kogut,1999,Localization of Knowledge and the Mobility of Engineers in Regional Networks,KBV; Empirical; Influence,Why are knowledge spillovers localized in some regions more strongly than in others?,Important semiconductor patents from 1980 and 1985 in twelve major US regions; corresponding citations and inventor mobility.,Matched patent-citation comparisons and observational analysis of regional mobility.,"Geographic localization of citations, technological controls and movement of major patent holders across employers.",Localization varied across regions; engineer mobility influenced local knowledge flows.,Evidence supports a regional labor-network mechanism without a randomized mobility shock.,"Technology clustering, inventor selection, unobserved regional institutions and citation conventions.",Use to qualify any claim that useful knowledge is naturally contained inside legal firm boundaries.,Abstract p. 905; patent sampling and geographic controls pp. 908–911; mobility analysis and conclusions.,https://doi.org/10.1287/mnsc.45.7.905
feldman2000-routine-change,Martha S. Feldman,2000,Organizational Routines as a Source of Continuous Change,Capabilities; Empirical; Critiques,How can repeated organizational routines generate ongoing change through their own performance?,"Five routines in a student-housing organization at a large state university, observed for four years.",Longitudinal qualitative fieldwork and process comparison across repeated routine performances.,"Observations of work and meetings, participant interpretations, expected outcomes and subsequent changes.","Participants revised routines in response to failures, unintended outcomes and opportunities.",Evidence identifies plausible within-routine mechanisms rather than a population causal effect.,"Researcher interpretation, setting-specific administrative conditions and concurrent organizational changes.",Use as a challenge to treating routines solely as inertia and as a concrete example before introducing dynamic capabilities.,Abstract; methods and organizational context; descriptions of five routines; performative model and discussion.,https://doi.org/10.1287/orsc.11.6.611.12529
rosenkopf2001-boundary-spanning,Lori Rosenkopf; Atul Nerkar,2001,"Beyond local search: boundary‐spanning, exploration, and impact in the optical disk industry",KBV; Capabilities; Empirical,How do crossing organizational boundaries and crossing technological boundaries differ in their consequences for inventive impact?,Optical-disk patenting firms; 371 firm-year observations reported in the regression tables.,Negative-binomial regressions with firm and year controls.,Backward citations classified by organizational/technological boundary; later within-domain and outside-domain citations.,Organizational boundary spanning predicts greater impact; technological spanning involves domain-dependent tradeoffs.,"Associational evidence on patented inventions, not direct identification of capability-building routines.","Patent selection, knowledge quality, patent age and the selection of external technologies matter.",Use as empirical evidence that the value of knowledge recombination depends on which boundary is crossed and which outcome is evaluated.,Selected source excerpts: Methodology: Data; Exploration; Impact; Results narrative; Discussion; Conclusions. Tables and other sections not fully reviewed.,https://doi.org/10.1002/smj.160
king2002-incumbent-entry,Andrew A. King; Christopher L. Tucci,2002,Incumbent Entry into New Market Niches: The Role of Experience and Managerial Choice in the Creation of Dynamic Capabilities,Capabilities; Critiques; Empirical,"Does experience in established markets hinder entry into new technological niches, or equip incumbents to enter successfully?","208 business units representing 174 organizations in rigid disk drives, 1976–1995.",Random-effects logistic entry models; Heckman-style selection correction for future sales.,"Production/sales experience, prior niche transitions, entry and subsequent sales.",Existing-market experience favors entry; prior-transition effect is not positive as hypothesized.,Observational entry and performance evidence; managerial choice mechanism inferred.,"Industry transition speed, incumbent selection, prior market position and sampling differences discussed.",Pair with rigidity cases to distinguish average incumbent advantages from the failures of particular market leaders.,Selected source excerpts: Research method and Sample; Results opening paragraphs; Discussion; Conclusions. Tables and other sections not fully reviewed.,https://doi.org/10.1287/mnsc.48.2.171.253
danneels2002-product-competences,Erwin Danneels,2002,The dynamics of product innovation and firm competences,Capabilities; KBV; Empirical,How does developing a new product both draw on existing competences and build competences for future activity?,Five high-technology firms producing physical business-to-business products.,"Comparative qualitative field study using interviews, observations and documents.","Technological/customer competence, product projects and competence development traced qualitatively.",Product innovation both deploys and develops competences; exploiting technology requires complementary customer competences.,Inductive mechanism account; no population effect estimate.,"Case selection, retrospective interpretation and simultaneous changes in markets/resources.",Use to make the resource-services distinction tangible through product development and to introduce first- versus second-order competences.,"Selected source excerpts: Methods opening; Discussion and managerial/limitations sections, selected excerpts. Tables and other sections not fully reviewed.",https://doi.org/10.1002/smj.275
leiblein2002-make-buy-performance,Michael J. Leiblein; Jeffrey J. Reuer; Frédéric Dalsace,2002,Do make or buy decisions matter? The influence of organizational governance on technological performance,Bridge; Capabilities; Empirical,"Does producing internally rather than outsourcing improve technological performance, once firms’ selection of governance is considered?",714 semiconductor product-market/process-technology production decisions from 1996 industry information.,Two-stage governance-choice and technological-performance models with selection correction.,"Make/buy, exchange hazards, governance misfit and standardized feature size.",Direct governance effect is nonsignificant after correction; inadequate safeguards associate with lower technological performance.,Modeled observational comparison; selection assumptions remain essential.,"Capability-driven selection, systemic coordination demands, transaction hazards and omitted attributes.","Use to compare capability selection with TCE alignment, and to explain why a raw make-versus-buy performance comparison is inadequate.",Selected source excerpts: Methodology: Data and technological-performance measure; Second-stage results opening; Discussion. Tables and other sections not fully reviewed.,https://doi.org/10.1002/smj.259
hansen2002-knowledge-networks,Morten T. Hansen,2002,Knowledge Networks: Explaining Effective Knowledge Sharing in Multiunit Companies,KBV; Empirical; Influence,Why do some units obtain useful knowledge from the rest of a diversified firm while others fail to realize that potential?,120 new-product-development projects in 41 units of a multinational electronics company.,Observational project/network study combining competency classifications and surveys.,"Related knowledge, network-path length, direct ties, knowledge obtained, codifiability and completion time.",Benefits required related knowledge accessible through short paths; direct ties had contingent effects by codification.,"Evidence for content–network complementarity, not a randomized test of organizational links.","Network endogeneity, recall and single-company context; shared setting with earlier Hansen studies.",Use to explain why corporate relatedness alone cannot guarantee synergy and why integration requires particular lateral connections.,Abstract p. 232; Data and Methods pp. 236–238; knowledge-network definitions and results.,https://doi.org/10.1287/orsc.13.3.232.2771
kale2002-alliance-function,Prashant Kale; Jeffrey H. Dyer; Harbir Singh,2002,"Alliance capability, stock market response, and long‐term alliance success: the role of the alliance function",Capabilities; KBV; Influence; Empirical,"Does alliance experience improve alliance success by itself, or through dedicated structures that capture and apply what firms learn?",Firms and their alliances formed during 1993–1997; primary and alliance-level respondents plus stock-market data.,Survey/event-study regressions and Heckman selection models.,"Dedicated alliance function, alliance experience, abnormal returns, multidimensional managerial success assessments.",Alliance function remains a predictor; the independent experience effect diminishes with selection correction.,"Associational triangulation with a modeled selection correction, not random adoption of structures.","Learning orientation, self-selection, partner quality, signaling, and organizational placement.",Use to explain how firms organize learning rather than treating repetition as an automatic capability-building process.,Selected source excerpts: Research design and variable definitions; Discussion; Limitations and future research. Tables and other sections not fully reviewed.,https://doi.org/10.1002/smj.248
schroeder2002-manufacturing,Roger G. Schroeder; Kimberly A. Bates; Mikko A. Junttila,2002,A resource‐based view of manufacturing strategy and the relationship to manufacturing performance,RBV; Capabilities; KBV; Empirical,How do learning practices become difficult-to-copy manufacturing resources associated with plant performance?,"164 plants in Germany, Italy, Japan, the United Kingdom and the United States; three manufacturing industries.",Cross-sectional multiple-respondent survey and structural-equation modeling.,"Internal/external learning, proprietary processes/equipment and manufacturing performance.",Learning–proprietary process and proprietary process–performance paths are positive; original model fit is imperfect.,Associational pathway; temporal mediation and sustained advantage are untested.,"Construct coverage, reverse causality, country/industry differences and post hoc model modifications.",Use to make the learning-to-resource-to-performance chain concrete while distinguishing a fitted mediation model from causal process evidence.,"Selected source excerpts: Description of data and measures; Test of hypotheses, including model-fit and limitations paragraphs. Tables and other sections not fully reviewed.",https://doi.org/10.1002/smj.213
tsai2002-internal-coopetition,Wenpin Tsai,2002,"Social Structure of “Coopetition” Within a Multiunit Organization: Coordination, Competition, and Intraorganizational Knowledge Sharing",KBV; Bridge; Empirical,How do formal coordination and informal relationships affect knowledge sharing when business units also compete with one another?,Twenty-four business units in one large diversified petrochemical-origin company.,Observational sociometric analysis of interunit networks and competition.,"Knowledge sharing, centralization, social interaction, market competition and internal-resource competition.",Centralization related negatively to sharing; social interaction benefits depended on competition type.,Conditional within-firm association rather than causal proof that decentralization improves sharing.,"Endogenous structure, previous sharing, unit status and unobserved interdependencies.","Use to challenge the simple assumption that hierarchy automatically integrates knowledge, and to connect agency and internal power concerns with KBV.",Abstract p. 179; Methods pp. 183–185; coordination measures and results.,https://doi.org/10.1287/orsc.13.2.179.536
leiblein2003-firm-boundaries,Michael J. Leiblein; Douglas J. Miller,2003,An empirical examination of transaction‐ and firm‐level influences on the vertical boundaries of the firm,Bridge; Capabilities; RBV; Empirical,Can transaction attributes and firm-specific experience jointly explain where firms draw vertical boundaries?,469 make/buy production decisions from 117 responding semiconductor manufacturers.,Binary governance-choice models; alternative experience specifications including instrumentalized variables.,"Fabrication and sourcing experience, diversification, specificity, uncertainty and supplier availability.",Both firm-level experience and transaction attributes explain choices; specificity works conditionally with uncertainty.,"Associations in endogenous boundary choice, not causal performance estimates.","Prior choices generating experience, size, tenure, market strategy, geography and supplier availability.",Use as direct evidence for combining capability differences with TCE rather than holding firm capabilities constant.,Selected source excerpts: Research design: Sample and specification; Results opening; Discussion. Tables and other sections not fully reviewed.,https://doi.org/10.1002/smj.340
reagans2003-cohesion-range,Ray Reagans; Bill McEvily,2003,Network Structure and Knowledge Transfer: The Effects of Cohesion and Range,KBV; Empirical; Influence,Do network structure and knowledge diversity affect transfer beyond the strength of the direct relationship between sender and receiver?,Employees of one contract R&D firm; 104 of 113 employees returned the survey.,"Observational network analysis combining survey, expertise and personnel information.","Ease of knowledge transfer, cohesion, range, tie strength, expertise overlap and codifiability.",Cohesion and range eased reported transfer after accounting for direct tie strength.,Conditional associations support distinct mechanisms but do not establish exogenous network effects.,"Shared-source response bias, homophily, selection into ties and prior successful cooperation.",Use alongside Hansen to show why the weak-tie/strong-tie distinction alone does not capture the full social architecture of transfer.,Abstract p. 240; methods pp. 248–252; results and discussion.,https://doi.org/10.2307/3556658
ray2004-process-performance,Gautam Ray; Jay B. Barney; Waleed A. Muhanna,2004,"Capabilities, business processes, and competitive advantage: choosing the dependent variable in empirical tests of the resource‐based view",RBV; Critiques; Empirical,At what level should researchers measure performance when testing whether resources produce competitive advantages?,104 North American life and health insurance firms responding from an 800-firm sampling frame.,Multi-informant survey; structural-equation models of process and firm outcomes.,"Service climate, managerial IT knowledge, technology scope, spending, customer service and ROA.",Intangible capabilities predict some process outcomes but not ROA; technology/spending measures are nonsignificant.,"Outcome-level association, not a test identifying rent recipients.","Other business-process disadvantages, appropriation, respondent perceptions and sample selection.","Use to compare process effectiveness, competitive advantage and accounting returns before pooling empirical support for RBV.",Selected source excerpts: Data and method: Sample; Independent and dependent variable measures; Results; Disaggregating firm performance; Resource-based logic and business processes. Tables and other sections not fully reviewed.,https://doi.org/10.1002/smj.366
mayer2004-learning-contract,Kyle J. Mayer; Nicholas S. Argyres,2004,Learning to Contract: Evidence from the Personal Computer Industry,Bridge; KBV; Capabilities; Empirical,"How do firms learn to write contracts, and what knowledge do contracts preserve as a relationship develops?","Softstar and several customers; eleven focal contracts with HW Inc., 1989–1997.",Contract-history case study and repeated interviews with managers and technical personnel.,Changes in contract terms following experienced coordination and project problems.,Contracts evolve through problem-driven learning and preserve collaboration knowledge; transfer across customer relationships is limited.,Qualitative process inference with source triangulation; no estimated population effect.,"Anticipatory TCE explanations, relationship-specific learning, resource limits and retrospective interpretation.","Use to integrate contracting and learning theories through observable contract revisions, and to explain the development of governance capabilities.",Selected source excerpts: Methods and setting; Learning to contract interpretation; Conclusion. Tables and other sections not fully reviewed.,https://doi.org/10.1287/orsc.1040.0074
haas2005-knowledge-backfire,Martine R. Haas; Morten T. Hansen,2005,When using knowledge can hurt performance: the value of organizational capabilities in a management consulting company,KBV; Empirical; Critiques,Can using a firm’s accumulated knowledge resources reduce rather than improve competitive task performance?,182 sales proposals in one large US management consulting company.,Observational survey and archival study informed by interviews; models of contract wins.,"Use of electronic documents and personal advice, team experience, differentiation requirements and contracts won.",Knowledge use could hurt experienced teams; document reuse could hurt teams needing differentiation.,"Conditional association, not randomized access or an exogenous knowledge-sharing intervention.","Task difficulty, endogenous consultation, unobserved team quality and proposal selection.",Use as an explicit negative or contingent result against the blanket claim that more knowledge sharing always improves performance.,Abstract p. 1; research setting and sampling; contract-won and knowledge-use measures; results and conclusion.,https://doi.org/10.1002/smj.429
hansen2005-multiple-networks,Morten T. Hansen; Marie Louise Mors; Bjørn Løvås,2005,"Knowledge Sharing in Organizations: Multiple Networks, Multiple Phases",KBV; Bridge; Empirical,Do the same social-network conditions help all stages of knowledge sharing?,121 teams in 41 subsidiaries; search-cost analysis 55 projects and transfer-cost analysis 50.,Observational multilevel network study with phase-specific outcomes and clustered inference.,"Team density, interunit network size, tie strength, perceived competition, search decisions and search/transfer costs.",Network effects differed by phase; competition raised costs; strong transfer ties helped with tacit knowledge.,Mechanism-consistent associations; subsets require selection caution.,"Endogenous networks, selection into search/transfer, single-company setting and overlap with earlier research context.",Use to build a staged process explanation instead of treating knowledge sharing as one variable with one set of determinants.,Abstract p. 776; Methods and Data; Results; Discussion and Conclusion.,https://doi.org/10.5465/amj.2005.18803922
ethiraj2005-software-capabilities,Sendil K. Ethiraj; Prashant Kale; M. S. Krishnan; Jitendra V. Singh,2005,Where do capabilities come from and how do they matter? A study in the software services industry,Capabilities; RBV; Bridge; Empirical,"Where do operational capabilities arise, and how do they contribute to profitability at the level of individual projects?","138 projects for 57 clients at one Indian software-services firm, 1996–2001.",Project-level panel models with client fixed effects; GLS alternatives.,Project contribution; new/repeat client; schedule slippage; effort overrun; process defects.,Two project-management measures predict contribution; client-specific effect is specification-sensitive.,"Within-client associations, not an experimentally isolated investment return.","Unobserved client heterogeneity, coarse experience measures, project complexity and overlap between costs/outcomes.",Use for operationalizing capabilities and teaching why mixed or specification-sensitive results belong in an evidence review.,Selected source excerpts: Methods: Data and model specification; Results narrative; Discussion paragraphs on client effects and project management. Tables and other sections not fully reviewed.,https://doi.org/10.1002/smj.433
